longitude,latitude,dist,latlon
113.328222,23.066001999999997,海珠,"113.328222,23.066001999999997"
113.26666999999999,23.111107,海珠,"113.26666999999999,23.111107"
113.52174,23.089178,增城,"113.52174,23.089178"
113.3414,23.164599,天河,"113.3414,23.164599"
113.363748,23.462562,白云,"113.363748,23.462562"
113.33952099999999,23.019559,番禺,"113.33952099999999,23.019559"
113.46378999999999,23.099667999999998,天河,"113.46378999999999,23.099667999999998"
113.32834299999999,23.280517,白云,"113.32834299999999,23.280517"
113.42658999999999,22.933179,番禺,"113.42658999999999,22.933179"
113.38386299999999,23.007820000000002,番禺,"113.38386299999999,23.007820000000002"
113.552318,23.113042999999998,增城,"113.552318,23.113042999999998"
113.21233600000001,23.161355,白云,"113.21233600000001,23.161355"
113.605493,23.131306,增城,"113.605493,23.131306"
113.30278600000001,23.277361,白云,"113.30278600000001,23.277361"
113.33339099999999,23.110205999999998,海珠,"113.33339099999999,23.110205999999998"
113.404696,23.097325,海珠,"113.404696,23.097325"
113.250429,23.122462,荔湾,"113.250429,23.122462"
113.282723,23.085727,海珠,"113.282723,23.085727"
113.323897,23.123064000000003,越秀,"113.323897,23.123064000000003"
113.22161799999999,23.069442000000002,荔湾,"113.22161799999999,23.069442000000002"
113.376888,23.128195,天河,"113.376888,23.128195"
113.29440100000001,23.144022,越秀,"113.29440100000001,23.144022"
113.275379,23.141604,越秀,"113.275379,23.141604"
113.589323,23.155856,增城,"113.589323,23.155856"
113.34862700000001,23.118492,天河,"113.34862700000001,23.118492"
113.357947,23.129949,天河,"113.357947,23.129949"
113.25986100000001,23.066617,荔湾,"113.25986100000001,23.066617"
113.30108,23.108082,海珠,"113.30108,23.108082"
113.337151,23.107874,海珠,"113.337151,23.107874"
113.33632,23.121668,天河,"113.33632,23.121668"
113.273904,23.168075,白云,"113.273904,23.168075"
113.82628100000001,23.288053,增城,"113.82628100000001,23.288053"
113.33044,23.101007,海珠,"113.33044,23.101007"
113.49386899999999,23.177867000000003,增城,"113.49386899999999,23.177867000000003"
113.383738,22.937214,番禺,"113.383738,22.937214"
113.35251274674,23.176554414194,天河,"113.35251274674,23.176554414194"
113.34618300000001,23.149542,天河,"113.34618300000001,23.149542"
113.286477,23.241327,白云,"113.286477,23.241327"
113.328069,22.966256,番禺,"113.328069,22.966256"
113.367783,23.148296,天河,"113.367783,23.148296"
113.48843500000001,23.197176000000002,增城,"113.48843500000001,23.197176000000002"
113.298809,23.240432000000002,白云,"113.298809,23.240432000000002"
113.300537,23.338249,白云,"113.300537,23.338249"
113.31038899999999,22.970132,番禺,"113.31038899999999,22.970132"
113.464266,23.10453,天河,"113.464266,23.10453"
113.376764,23.010616,番禺,"113.376764,23.010616"
113.381905,23.140151,天河,"113.381905,23.140151"
113.435542,23.120228,天河,"113.435542,23.120228"
113.334969,22.974651,番禺,"113.334969,22.974651"
113.366514,23.129166,天河,"113.366514,23.129166"
113.535973,23.170896,增城,"113.535973,23.170896"
113.338076,23.127821,天河,"113.338076,23.127821"
113.465652,23.110115,天河,"113.465652,23.110115"
113.282696,23.115561,海珠,"113.282696,23.115561"
113.318926,23.030424,番禺,"113.318926,23.030424"
113.40831899999999,23.136026,天河,"113.40831899999999,23.136026"
113.313373,23.136629,越秀,"113.313373,23.136629"
113.24620700000001,23.079925,荔湾,"113.24620700000001,23.079925"
113.264932,23.178445999999997,白云,"113.264932,23.178445999999997"
113.20314599999999,23.11887,荔湾,"113.20314599999999,23.11887"
113.35949199999999,22.938693,番禺,"113.35949199999999,22.938693"
113.21706999999999,23.160609,白云,"113.21706999999999,23.160609"
113.51098200000001,23.163885,增城,"113.51098200000001,23.163885"
113.458395,23.194394,增城,"113.458395,23.194394"
113.380178,23.13309,天河,"113.380178,23.13309"
113.23346000000001,23.147673,白云,"113.23346000000001,23.147673"
113.28716599999998,23.143425,越秀,"113.28716599999998,23.143425"
113.56427,23.141064,增城,"113.56427,23.141064"
113.372504,23.156010000000002,天河,"113.372504,23.156010000000002"
113.36060400000001,23.139972,天河,"113.36060400000001,23.139972"
113.376764,23.010616,番禺,"113.376764,23.010616"
113.24258700000001,23.082888,荔湾,"113.24258700000001,23.082888"
113.341481,23.00137,番禺,"113.341481,23.00137"
113.334842,23.104318,海珠,"113.334842,23.104318"
113.33316299999998,23.033832999999998,番禺,"113.33316299999998,23.033832999999998"
113.21830800000001,23.151618,白云,"113.21830800000001,23.151618"
113.317353,23.134723,越秀,"113.317353,23.134723"
113.33596100000001,23.12247,天河,"113.33596100000001,23.12247"
113.2745,23.166888,白云,"113.2745,23.166888"
113.32171399999999,23.090372,海珠,"113.32171399999999,23.090372"
113.213228,23.117115,荔湾,"113.213228,23.117115"
113.39701399999998,23.09679,海珠,"113.39701399999998,23.09679"
113.412016,22.944176000000002,番禺,"113.412016,22.944176000000002"
113.48843500000001,23.197176000000002,增城,"113.48843500000001,23.197176000000002"
113.34175400000001,23.09506,海珠,"113.34175400000001,23.09506"
113.49386899999999,23.177867000000003,增城,"113.49386899999999,23.177867000000003"
113.17091,23.402339,白云,"113.17091,23.402339"
113.39244199999999,23.128473,天河,"113.39244199999999,23.128473"
113.26378600000001,23.203595,白云,"113.26378600000001,23.203595"
113.339197,23.12937,天河,"113.339197,23.12937"
113.303081,23.223095999999998,白云,"113.303081,23.223095999999998"
113.563883,23.202898,增城,"113.563883,23.202898"
113.36805600000001,23.139454,天河,"113.36805600000001,23.139454"
113.34098700000001,23.304824,白云,"113.34098700000001,23.304824"
113.278748,23.146307,越秀,"113.278748,23.146307"
113.246251,23.183864,白云,"113.246251,23.183864"
113.39244199999999,23.128473,天河,"113.39244199999999,23.128473"
113.381905,23.140151,天河,"113.381905,23.140151"
113.26266399999999,23.188481,白云,"113.26266399999999,23.188481"
113.27976299999999,23.245442,白云,"113.27976299999999,23.245442"
113.413215,23.172647,天河,"113.413215,23.172647"
113.563883,23.202898,增城,"113.563883,23.202898"
113.26043100000001,23.200884,白云,"113.26043100000001,23.200884"
113.33821999999999,23.149721,天河,"113.33821999999999,23.149721"
113.57791499999999,23.138609,增城,"113.57791499999999,23.138609"
113.37116599999999,23.146359,天河,"113.37116599999999,23.146359"
113.26429099999999,23.175341,白云,"113.26429099999999,23.175341"
113.36805600000001,23.139454,天河,"113.36805600000001,23.139454"
